	Biamonti	Hess	Op.	Grove	WoO	Title 1	Title 2	Composition Dates 1	Composition Dates 2	Notes 1	Key	Scoring	Genre	Notes 2	Same As	ROW 2
1	1	—	—	176	063	9 Variations for Piano in C minor: on a march by Ernst Christoph Dressler	Variations on a March by Dressler (9)	1782	1782	dedicated to Countess Wolf-Metternich	C minor	pf	Chamber	based on a march by Ernst Christoph Dressler	"WoO 63, Grove 176"	359
2	2/	—	—		047/		Piano Sonatas ('Electoral') ('Kurfürstensonate'):	1783				pf	Keyboard			338
3	2/1	—	—	161/1	047/1	"Piano Sonata in E flat major: ""Kurfürstensonate"" (Electoral) #1"	Piano Sonata	1783	1783	dedicated to Archbishop Maximilian Friedrich of Cologne	E♭ major	pf	Keyboard		"WoO 47 #1, Grove 161"	339
4	2/2	—	—	161/2	047/2	"Piano Sonata in F minor: ""Kurfürstensonate"" (Electoral) #2"	Piano Sonata	1783	1783	dedicated to Archbishop Maximilian Friedrich of Cologne	F minor	pf	Keyboard		"WoO 47 #2, Grove 161"	340
5	2/3	—	—	161/3	047/3	"Piano Sonata in D major: ""Kurfürstensonate"" (Electoral) #3"	Piano Sonata	1783	1783	dedicated to Archbishop Maximilian Friedrich of Cologne	D major	pf	Keyboard		"WoO 47 #3, Grove 161"	341
6	3	046				Sonata for Piano & Violin in A major; authorship: unfinished			1790 - 1792	fragments					Hess 46	
7	4	051	—		048	Rondo for Piano in C major	Rondo	1783	1783		C major	pf	Keyboard		"WoO 48, Hess 51"	342
8	5	—	—	164	049	Rondo for Piano in A major	Rondo	1783	1783		A major	pf	Keyboard		"WoO 49, Grove 164"	343
9	6	—	—		031	Fugue for Organ in D major	Fugue	1783	1783		D major	org	Keyboard		WoO 31	316
10	7	—	—	229	107	"Song: ""Schilderung eines Mädchens""; ""Schildern, willst du Freund, soll ich dir Elisen?"""	"Schilderung eines Mädchens(""Schildern, willst du Freund, soll ich dir Elisen?"")"	1782	1782	words: Anonymous	G major	v pf	Vocal		"WoO 107, Grove 229"	430
11	8	048				Allegretto for Piano Trio in E flat major			1790 - 1792						Hess 48	
12	9	—	—	230	108	"Song in A major: ""An einen Säugling""; ""Noch weisst du nicht, wes Kind du bist"""	"An einen Säugling (""Noch weisst du nicht, wes Kind du bist"")"	1783	1783	words: Johann von Döring	A major	v pf	Vocal		"WoO 108, Grove 230"	431
13	10	—	—		004	Concerto for Piano & Orchestra in E flat major; authorship: reconstruction	Piano Concerto	1784	1784	"Only the piano part, with orchestral cues, survives; reconstruction by Willy Hess"	E-flat major	pf orch	Orchestral	only pf part survives; completed by Willy Hess	WoO 4	274
14	11	298				Sketch in C minor: sketch for a movement of a Symphony; authorship: unfinished			1791 - 1793	theme used in the Piano Quartet WoO 36 #1					Hess 298	
15	12/	—	—		036/		Piano Quartets(3):	1785				vn va vc pf	Chamber			321
16	12/1	—	—	152/1	036/1	Piano Quartet in E flat major	Piano Quartet No.1 in E-flat major	1785	1785	the theme of the Allegro corresponds to a sketch for an early unfinished symphony (Hess 298)	E♭ major	vn va vc pf	Chamber	one theme also used in Hess 298	"WoO 36 #1, Grove 152"	322
17	12/2	—	—	152/2	036/2	Piano Quartet in D major	Piano Quartet No.2 in D major	1785	1785		D major	vn va vc pf	Chamber		"WoO 36 #2, Grove 152"	323
18	12/3	—	—	152/3	036/3	Piano Quartet in C major	Piano Quartet No.3 in C major	1785	1785	some of this used in Piano Sonatas Opus 2 #1 and Opus 2 #3	C major	vn va vc pf	Chamber	some music re-used in Op.2/1 and Op. 2/3	"WoO 36 #3, Grove 152"	324
19	13	—	—		109	"Song in C major: ""Trinklied (beim Abschied zu singen)""; ""Erhebt das Glas mit froher Hand"""	"Trinklied (beim Abschied zu singen) (""Erhebt das Glas mit froher Hand"")"	1791-92	1791 - 1792	words: Anonymous	C major	v pf	Vocal		WoO 109	432
